Nome,Matricula,Serie,Nota 1,Nota 2,Nota 3
Gabriela Lima,52929836,4,91.09791834,54.31455365,62.08198604
Lucas Ferreira,10741624,4,69.2867332,48.93569493,84.85412966
Amanda Almeida,57879774,1,72.31784362,12.29280447,99.05496471
Matheus Souza,24952644,2,4.742838173,2.371029701,32.85755125
Marcela Pereira,3117956,4,46.78143237,25.5173356,30.31557725
Gustavo Silva,69341744,4,83.34439932,50.66653191,82.89057744
Bruna Oliveira,79423155,1,6.677363876,30.02697335,78.31726898
Rodrigo Costa,40693332,4,97.92455978,96.84456921,50.42610255
Larissa Lima,43260202,2,26.34133819,68.21775664,16.61755362
André Ferreira,79429724,1,42.23185318,76.29715509,32.54231526
Débora Almeida,74951088,4,92.72235908,10.18009249,36.43456873
Carlos Souza,5836091,5,22.10082143,20.16026944,62.17000162
Renata Martins,37033373,3,23.38134113,25.74420511,26.42403181
Lucas Pereira,28454327,1,87.17579642,3.05922882,41.61555159
Camila Silva,61232375,3,80.45989326,27.27977654,44.13245631
Thiago Costa,98681746,1,20.05297466,47.74017216,90.2091774
Juliana Oliveira,42423056,4,76.27830627,85.81723845,2.982368172
Marcos Lima,15985864,2,64.0590214,78.73651672,31.54555604
Jéssica Ferreira,68508538,1,67.24289255,47.30928752,94.95445767
Rafael Almeida,24955821,2,92.36777637,46.60051977,10.01638583
Natália Souza,12539347,4,85.55239051,76.69538984,48.08870284
Leonardo Pereira,82796598,2,58.5393746,94.00299308,46.70062681
Patrícia Silva,82955082,5,83.5918305,2.545062889,94.08186415
Gabriel Costa,3633973,3,55.93078192,61.12623614,99.01052688
Larissa Lima,6085592,2,92.50318267,49.92576669,16.97606222
André Ferreira,16145928,3,5.167495879,56.51544792,74.93455004
Amanda Almeida,67747762,3,85.65138741,42.06916725,24.38791682
Renato Souza,58621009,2,84.69025361,72.49473306,14.72879665
Mariana Oliveira,95891245,2,8.800030619,38.50864022,40.90832334
Vinícius Costa,6432456,5,89.31733746,43.28947545,4.256328243
Letícia Lima,29037055,5,93.8237352,7.556863185,65.01019264
José Ferreira,4021631,5,11.1248404,16.33457497,33.94067211
Ana Clara Almeida,4939768,2,21.57788543,11.02350964,59.64862732
Ricardo Souza,97595533,2,71.38814242,90.40734983,94.88047387
Bruna Pereira,67062716,2,84.79586336,98.49034836,99.15072866
Wagner Lima,23224653,3,22.80526006,21.03664883,83.77360179
Luana Ferreira,30890632,2,24.07838287,64.62740098,65.20907812
Eduardo Almeida,55759241,3,89.0060342,77.25074044,15.94073259
Tainá Souza,67222733,5,52.47911799,46.12537965,49.86431877
Bruno Pereira,20045654,3,10.02228943,72.59244325,61.25243137
Caio Santos,42988508,1,37.98907318,12.82446526,68.15188504
Luiza Oliveira,78889787,4,34.8478423,76.22083748,81.79455564
Gabriel Martins,40936306,4,2.304942774,11.33839475,25.27110503
Isabela Costa,63169808,2,7.660372234,20.91611689,68.61154433
Lucas Lima,47495263,2,100.3720684,27.51920025,98.20038671
Amanda Ferreira,84305369,1,65.2294427,68.30289374,24.11528046
Bruno Almeida,22174940,5,32.87153421,57.90746385,37.93041357
Mariana Souza,54684243,2,27.32821648,17.31403541,88.32076906
Matheus Pereira,22037578,4,85.4366095,89.10387924,42.03161467
Carolina Silva,39746541,4,67.74531025,69.85180553,52.8634015
Felipe Oliveira,61779792,4,89.11199738,29.83117687,87.03856408
Larissa Costa,27832488,4,94.21474117,13.09753311,83.97312501
Rafael Mendes,13135334,5,19.39835583,83.19412448,2.860431843
Fernanda Lima,49151887,4,5.015577185,76.61984033,91.7479063
Guilherme Almeida,38825581,5,41.95528005,78.96541084,56.66411813
Jéssica Oliveira,19728899,1,87.22080056,55.29162854,41.0144921
Leonardo Pereira,76196404,3,25.28146194,58.1147592,38.78848564
Patrícia Santos,64799408,4,55.9914014,7.317154987,21.93320159
Thiago Costa,25854079,5,60.87697386,47.55862883,88.40990726
Juliana Martins,70549526,3,30.62414196,86.97449709,54.75238057
André Silva,12710071,4,3.75782806,23.35142081,99.87952218
Camila Oliveira,73635028,3,96.28897389,20.89029004,31.51659416
Renato Ferreira,3316767,2,97.78789161,9.192206026,32.69183516
Beatriz Almeida,72389962,1,100.8670463,96.98952586,32.16290369
Gustavo Souza,25354955,2,15.98114286,25.92164044,37.53591483
Ana Clara Costa,97671768,3,94.66704577,89.22335303,47.69593884
Marcos Pereira,17236534,5,93.38405081,11.18302523,69.25037221
Bruna Silva,28094758,4,93.01319031,66.60380103,98.72221283
Ricardo Mendes,68847135,3,84.86164327,88.98243636,3.989470598
Larissa Oliveira,55784054,3,54.03236059,30.11114082,23.56651111
Daniel Lima,13855805,4,50.38250851,41.68136326,14.56129754
Natália Ferreira,83327994,3,38.00224421,29.14389415,91.82056931
Lucas Almeida,21234409,5,72.34082469,34.97970069,94.58297075
Marina Souza,57307998,3,92.25193287,44.1229385,62.13072122
Douglas Costa,65049851,5,91.99326822,65.49790297,1.488147228
Bianca Martins,63570699,5,74.03781156,92.72189993,78.27436097
Felipe Silva,38637720,5,21.96353585,44.25796062,11.0070566
Mariana Almeida,36812602,2,40.57063741,53.37036908,86.37383471
Vinícius Santos,19271309,4,38.52827025,34.11945135,24.81953376
Letícia Lima,81609090,5,53.27626285,75.87163347,55.03329946
José Ferreira,85095411,5,78.40827039,19.28737414,39.77045425
Ana Carolina Oliveira,93528749,3,35.57708285,10.21205938,6.153366121
Marcelo Costa,73944322,1,90.2242187,77.42374026,95.26031375
Laura Mendes,81195726,3,8.441153703,71.24698077,79.38717108
Wagner Lima,48135423,2,8.624679652,34.52811997,46.91975356
Luana Almeida,69256653,3,94.43031577,29.57253886,90.16937199
Eduardo Souza,67688282,1,100.1568498,27.27946743,33.9963433
Tainá Silva,47468250,5,13.06983376,83.49141933,27.80846617
Bruno Pereira,60762705,5,52.84064998,52.44056445,87.38827132
Raquel Santos,83863158,5,92.45440505,99.82224364,24.42736423
Diego Oliveira,32900052,4,57.54995128,6.51853504,70.12838369
Carolina Costa,45952881,2,43.80600974,83.9697382,1.024262023
Ricardo Martins,51104027,2,27.93953406,77.26295698,15.34178851
Gabriela Almeida,49160726,2,7.227486834,44.06007186,27.37514677
Lucas Souza,33026127,2,78.83326446,40.6931611,74.07141905
Amanda Pereira,48473312,1,93.48391218,87.2600191,76.99280629
Matheus Lima,31788894,2,90.57145446,99.91660163,60.50223861
Marcela Ferreira,98419227,5,53.93639318,36.15944875,96.28934767
Gustavo Almeida,32479372,1,21.47920759,14.58141395,71.44154354
Bruna Souza,66430258,4,89.70690599,82.13601097,63.16722167
Rodrigo Costa,23174406,3,42.85081585,59.7617919,4.668714339
Larissa Martins,1710982,3,13.03751651,24.08338324,79.50702366
André Oliveira,11765169,2,93.94905679,100.580424,34.00323491
Débora Lima,39868050,2,45.20526362,43.2270073,14.76080981
Carlos Ferreira,76710538,4,29.60554025,11.91605537,52.51843204
Renata Almeida,84939748,1,43.15907799,76.74356805,4.742169769
Lucas Pereira,45612652,5,34.00510763,31.92734754,36.92571777
Camila Santos,24080204,1,3.464977416,8.624384461,66.68548248
Thiago Oliveira,27823547,1,32.88168216,42.45952078,41.25857348
Juliana Costa,34855658,2,79.69953142,50.07303504,44.99654773
Marcos Martins,7713466,4,67.19602097,80.11390869,4.89782619
Jéssica Almeida,74714707,3,45.95141285,33.41103434,73.41683653
Rafaela Ferreira,61147063,5,16.77050415,18.09054133,74.81321106
Natália Lima,50855004,5,42.72133376,63.00150273,70.46876679
Leonardo Costa,51931107,5,37.49842213,22.91117664,43.57659699
Patrícia Almeida,56955117,4,95.70874426,19.42187535,63.24645889
Gabriel Souza,15519194,5,13.61329211,91.65795277,99.96780828
Larissa Pereira,361574,2,16.50885199,84.66699795,17.38507654
André Lima,47225039,3,22.89854781,57.09695711,67.39559191
Amanda Ferreira,94631223,3,86.19803235,77.50073537,91.21406615
Renato Almeida,90501355,1,71.25246139,10.48463083,64.25704293
Mariana Santos,44362914,5,17.55372143,60.46690974,2.819861833
Vinícius Oliveira,10779776,4,10.12354049,18.27899966,89.93473795
Letícia Costa,31330343,1,63.94392368,100.1008658,18.46909648
José Almeida,42282017,3,100.2358586,90.51033284,8.370029146
Ana Clara Ferreira,26630471,2,37.75049159,46.44617693,28.34336627
Ricardo Oliveira,92517932,3,4.782759253,19.13299514,38.85423402
Bruna Costa,96737890,4,58.89195024,9.283440629,54.89343627
Wagner Martins,72262430,1,69.74437697,26.02000723,49.46024249
Luana Pereira,61475673,3,35.22992206,79.03978138,44.72869847
Eduardo Lima,12952071,4,95.85527958,6.925096427,93.8208804
Tainá Almeida,59188659,4,87.33540471,98.00035461,76.52396518
Bruno Silva,19092131,5,1.501298836,2.087151743,5.985769608
Raquel Oliveira,12940568,3,46.52683664,80.33132207,94.96971175
Diego Costa,45637726,3,76.76050943,71.36451022,22.9059635
Carolina Almeida,97580893,3,48.8528797,1.004762637,69.64566209
Ricardo Souza,61552377,5,2.035087674,64.84996511,99.56877647
Fernanda Martins,30969109,5,10.67395033,87.75894818,13.50588004
Roberto Lima,66284618,2,49.17464004,4.632476574,10.60958106
Gabriela Ferreira,44993532,4,40.90449887,15.81469531,59.38300544
Lucas Almeida,28352970,3,55.40561958,83.3513902,44.85135801
Amanda Costa,99342627,3,28.33265592,1.594416796,35.81979099
Matheus Martins,60620432,1,100.3064339,26.85971312,28.96711282
Marcela Almeida,39719715,2,42.56697296,43.86226411,52.19948561
João Oliveira,88890286,5,70.86709412,5.91242173,4.43823208
Maria Almeida,54168209,3,27.2162322,63.54066157,64.4674834
Lucas Costa,95126019,3,49.52164567,42.37521379,2.119307386
Ana Clara Lima,69753351,3,12.3446027,37.29291863,58.92204407
Pedro Santos,68867171,3,42.92918857,73.87129836,42.75501191
Fernanda Oliveira,51892628,2,68.83053374,15.43770874,45.12130136
Guilherme Costa,6561513,2,6.006112336,84.72505756,54.27823477
Camila Almeida,11640304,1,4.075372527,17.83623212,67.73926236
Thiago Silva,93931917,1,34.89129964,6.009516725,60.01407425
Juliana Oliveira,1621763,2,10.95168347,38.33634886,29.34952542
Matheus Costa,58768220,2,65.58338837,41.76066365,11.19712061
Vanessa Almeida,45753878,5,29.65839436,80.75179845,5.079240136
André Oliveira,15565171,2,41.16295395,8.098862792,25.46830944
Rafaela Costa,27400339,1,35.279879,39.09349853,39.62655808
Leonardo Almeida,48950547,5,1.853520128,26.02170349,46.05289064
Larissa Silva,76775412,5,87.66083409,9.060777899,56.35502082
Carlos Oliveira,14007847,1,18.54679125,93.74195987,57.74635038
Bruna Costa,93438424,1,60.35292348,34.16270349,6.461951677
Marcelo Almeida,18937524,1,74.49539986,70.18969734,22.07604067
Isabela Oliveira,11126,3,32.81968795,1.105726943,18.27255139
Renato Costa,5291218,1,2.148808631,25.04206869,19.30113549
Patrícia Almeida,7448061,1,86.0726189,78.39779448,17.55614291
Gabriel Oliveira,42105996,2,85.87585816,82.56404617,86.31315621
Jéssica Almeida,32299564,1,83.0355911,57.93831551,19.72813141
Lucas Lima,1291150,5,37.69378932,94.62623935,1.866928691
Amanda Oliveira,15509364,4,58.09173151,100.457195,4.535236895
Marcos Almeida,11439411,1,66.03448387,93.3130824,11.58327705
Paula Costa,69749613,1,47.66307275,86.11660278,79.27936458
Gustavo Oliveira,85104202,3,68.76217581,74.15907908,80.30825037
Carolina Almeida,15897763,3,97.82870476,35.79096695,94.08675066
Alexandre Costa,50030742,4,55.66391334,58.67847674,66.99005521
Beatriz Almeida,43296743,1,13.73354826,46.2005947,63.75567351
Fernando Oliveira,67500579,3,14.82789782,48.72281234,3.357403137
Natália Almeida,48184292,4,17.0218898,93.21215225,67.21275084
Rafael Costa,2004229,2,86.88112344,67.36212883,21.27737408
Marina Almeida,18130496,5,45.20445298,17.56677257,74.78140024
Douglas Oliveira,84314584,3,63.96495058,41.30246768,71.47557949
Bianca Almeida,59457552,5,24.50456185,51.69854397,2.836338533
Felipe Costa,38483983,1,32.3860478,11.0004508,47.86699881
Mariana Almeida,23240481,2,34.409954,56.11937619,17.81666183
Vinícius Oliveira,79864780,2,82.7037915,7.103410493,24.43581874
Letícia Almeida,9820415,3,37.27651554,60.3405385,30.14198594
José Costa,31400177,2,5.029594645,38.93172775,5.592468789
Ana Clara Oliveira,3240073,3,94.59562933,93.05822844,1.778030048
Ricardo Almeida,96542674,2,14.75694459,43.54163402,24.21437682
Larissa Costa,55731214,4,27.96759941,6.245243931,77.79973114
Daniel Almeida,5706773,5,41.86396788,16.38802557,14.94436239
Laura Oliveira,56234385,5,97.7516695,60.0699033,76.38324669
Wagner Costa,57181334,5,100.1964279,18.48558139,72.39030329
Luana Almeida,41710037,5,76.4330325,22.72654396,87.61780871
Marcelo Oliveira,79943925,1,99.42391409,44.79390631,36.06773177
Luiza Costa,58824236,3,42.91603428,29.14112958,39.07114199
Eduardo Almeida,83291748,3,97.15392784,66.69149486,45.49137652
Tainá Oliveira,38171816,1,44.48991966,33.25539351,55.18777937
Bruno Almeida,44435730,2,20.28837644,83.02996964,81.80334299
Raquel Costa,81913984,2,86.70115828,23.65026751,33.67999825
Diego Oliveira,39879437,3,29.22795223,42.3625874,66.58775414
Carolina Almeida,86689693,4,59.69889134,65.41409386,70.73080785
Ricardo Costa,6447542,3,4.897732918,29.32003573,66.74015679
Fernanda Almeida,69773852,2,80.00475412,91.47480658,19.02462648
Roberto Oliveira,35204565,3,13.52040923,44.37562757,56.92303997
Gabriela Almeida,52457523,3,76.61432756,23.49284537,59.62320461
Lucas Oliveira,52814376,3,37.15264985,84.82658292,1.547193762
Amanda Costa,88574528,1,32.69731181,30.55981841,7.094416613
Matheus Almeida,32858898,1,46.58839956,49.95679554,27.48569508
Marcela Oliveira,38164291,3,82.07116013,78.38645872,63.97392739
Gustavo Almeida,41626513,5,67.49632173,22.089784,90.77879133
Bruna Oliveira,50585502,1,71.53595191,22.72434704,57.8017001
Rodrigo Almeida,52402364,4,38.58528508,2.451939377,77.16205796
Larissa Costa,83705060,1,24.84578557,19.09352521,64.14627017
André Almeida,36675553,1,52.98265444,24.12133891,81.89798402
Débora Oliveira,85308980,3,65.63626112,62.43973278,70.04179356
Carlos Almeida,44930985,1,89.47831138,99.32467773,61.4754438
Renata Costa,61554711,3,79.42312335,11.39002513,12.26044809
Lucas Almeida,41246409,1,90.25875252,43.26498681,43.4385493
Camila Oliveira,60074802,2,68.5408401,63.89592654,27.28307805
Thiago Almeida,30269301,4,95.46846512,17.62902392,83.90419819
Juliana Costa,78966773,4,98.62143961,26.14372178,38.48338403
Marcos Almeida,70876607,5,54.44082496,52.86149051,21.02701168
Jéssica Oliveira,48837498,3,66.25527276,91.87885494,39.98754039
Rafaela Almeida,73705974,1,58.60139894,95.94154822,40.38468332
Natália Costa,15241240,4,70.47101148,32.25538549,95.30648963
Leonardo Almeida,28805230,3,74.53841233,29.30651987,31.41173895
Patrícia Oliveira,10516757,2,26.57928493,89.81395267,76.86923068
Gabriel Almeida,61887002,2,48.0466208,64.10131115,16.84365572
Larissa Oliveira,54465585,1,71.0123255,97.35726674,25.03176804
André Almeida,12255200,4,34.38264906,7.265761439,6.696960878
Amanda Oliveira,65707103,5,16.64287089,71.78796002,92.33010377
Renato Costa,9758486,3,27.63540459,75.09415686,99.46760103
Mariana Almeida,22727935,5,96.57396598,3.168889172,71.33113348
Vinícius Oliveira,83045597,1,86.93998072,96.61231727,93.65540626
Letícia Almeida,54340303,2,92.76422029,4.443209623,38.36975988
José Oliveira,93609966,4,20.98615439,47.03113984,7.904998544
Ana Clara Almeida,2052715,1,66.60989482,61.80470834,7.013311691
Ricardo Oliveira,81659675,4,9.443655655,36.07721284,46.29396949
