Nome, Serie, Média
Ana Clara Almeida, 2, 30.750007463333333
Ricardo Souza, 2, 85.55865537333334
Bruna Pereira, 2, 94.14564679333334
Wagner Lima, 3, 42.53850356
Luana Ferreira, 2, 51.30495399
Eduardo Almeida, 3, 60.73250241
Tainá Souza, 5, 49.489605469999994
Bruno Pereira, 3, 47.95572135
Caio Santos, 1, 39.65514116
Luiza Oliveira, 4, 64.28774514
Gabriel Martins, 4, 12.971480851333334
Isabela Costa, 2, 32.39601115133333
Lucas Lima, 2, 75.36388512
Amanda Ferreira, 1, 52.54920563333334
Bruno Almeida, 5, 42.90313720999999
Mariana Souza, 2, 44.321006983333326
Matheus Pereira, 4, 72.19070113666668
Carolina Silva, 4, 63.48683909333334
Felipe Oliveira, 4, 68.66057944333333
Larissa Costa, 4, 63.76179976333333
Rafael Mendes, 5, 35.15097071766667
Fernanda Lima, 4, 57.79444127166666
Guilherme Almeida, 5, 59.19493634
Jéssica Oliveira, 1, 61.1756404
Leonardo Pereira, 3, 40.72823559333333
Patrícia Santos, 4, 28.41391932566667
Thiago Costa, 5, 65.61516998333333
Juliana Martins, 3, 57.45033987333333
André Silva, 4, 42.32959035
Camila Oliveira, 3, 49.56528603
Renato Ferreira, 2, 46.557310932
Beatriz Almeida, 1, 76.67315861666667
Gustavo Souza, 2, 26.479566043333335
Ana Clara Costa, 3, 77.19544588000001
Marcos Pereira, 5, 57.93914941666666
Bruna Silva, 4, 86.11306805666668
Ricardo Mendes, 3, 59.277850076
Larissa Oliveira, 3, 35.90333750666667
Daniel Lima, 4, 35.54172310333333
Natália Ferreira, 3, 52.988902556666666
Lucas Almeida, 5, 67.30116537666667
Marina Souza, 3, 66.16853086333333
Douglas Costa, 5, 52.99310613933333
Bianca Martins, 5, 81.67802415333334
Felipe Silva, 5, 25.742851023333333
Mariana Almeida, 2, 60.10494706666666
Vinícius Santos, 4, 32.48908512
Letícia Lima, 5, 61.39373192666667
José Ferreira, 5, 45.82203292666666
Ana Carolina Oliveira, 3, 17.31416945033333
Marcelo Costa, 1, 87.63609090333334
Laura Mendes, 3, 53.025101850999995
Wagner Lima, 2, 30.024184394
Luana Almeida, 3, 71.39074220666667
Eduardo Souza, 1, 53.81088684333333
Tainá Silva, 5, 41.456573086666666
Bruno Pereira, 5, 64.22316191666667
Raquel Santos, 5, 72.23467097333334
Diego Oliveira, 4, 44.73229000333333
Carolina Costa, 2, 42.93333665433334
Ricardo Martins, 2, 40.18142651666667
Gabriela Almeida, 2, 26.22090182133333
Lucas Souza, 2, 64.53261486999999
Amanda Pereira, 1, 85.91224585666667
Matheus Lima, 2, 83.66343156666666
Marcela Ferreira, 5, 62.12839653333333
Gustavo Almeida, 1, 35.83405502666667
Bruna Souza, 4, 78.33671287666667
Rodrigo Costa, 3, 35.76044069633333
Larissa Martins, 3, 38.875974469999996
André Oliveira, 2, 76.17757189999999
Débora Lima, 2, 34.39769357666666
Carlos Ferreira, 4, 31.346675886666663
Renata Almeida, 1, 41.54827193633333
Lucas Pereira, 5, 34.28605764666667
Camila Santos, 1, 26.258281452333335
Thiago Oliveira, 1, 38.866592139999995
Juliana Costa, 2, 58.25637139666667
Marcos Martins, 4, 50.73591861666667
Jéssica Almeida, 3, 50.92642790666667
Rafaela Ferreira, 5, 36.55808551333333
Natália Lima, 5, 58.73053442666666
Leonardo Costa, 5, 34.66206525333333
Patrícia Almeida, 4, 59.45902616666666
Gabriel Souza, 5, 68.41301772
Larissa Pereira, 2, 39.520308826666664
André Lima, 3, 49.13036560999999
Amanda Ferreira, 3, 84.97094462333332
Renato Almeida, 1, 48.66471171666666
Mariana Santos, 5, 26.946831001000003
Vinícius Oliveira, 4, 39.445759366666664
Letícia Costa, 1, 60.83796198666666
José Almeida, 3, 66.37207352866668
Ana Clara Ferreira, 2, 37.51334493
Ricardo Oliveira, 3, 20.923329471
Bruna Costa, 4, 41.02294237966667
Wagner Martins, 1, 48.40820889666667
Luana Pereira, 3, 52.999467303333326
Eduardo Lima, 4, 65.53375213566666
Tainá Almeida, 4, 87.28657483333335
Bruno Silva, 5, 3.191406729
Raquel Oliveira, 3, 73.94262348666666
Diego Costa, 3, 57.010327716666666
Carolina Almeida, 3, 39.834434809
Ricardo Souza, 5, 55.48460975133333
Fernanda Martins, 5, 37.31292618333333
Roberto Lima, 2, 21.472232558
Gabriela Ferreira, 4, 38.70073320666666
Lucas Almeida, 3, 61.20278926333333
Amanda Costa, 3, 21.915621235333333
Matheus Martins, 1, 52.044419946666665
Marcela Almeida, 2, 46.20957422666667
João Oliveira, 5, 27.072582643333337
Maria Almeida, 3, 51.74145905666668
Lucas Costa, 3, 31.338722282000003
Ana Clara Lima, 3, 36.1865218
Pedro Santos, 3, 53.185166280000004
Fernanda Oliveira, 2, 43.12984794666667
Guilherme Costa, 2, 48.336468222
Camila Almeida, 1, 29.88362233566666
Thiago Silva, 1, 33.63829687166666
Juliana Oliveira, 2, 26.21251925
Matheus Costa, 2, 39.51372421
Vanessa Almeida, 5, 38.49647764866666
André Oliveira, 2, 24.910042060666665
Rafaela Costa, 1, 37.99997853666667
Leonardo Almeida, 5, 24.642704752666663
Larissa Silva, 5, 51.02554426966666
Carlos Oliveira, 1, 56.67836716666667
Bruna Costa, 1, 33.659192882333336
Marcelo Almeida, 1, 55.587045956666664
Isabela Oliveira, 3, 17.399322094333332
Renato Costa, 1, 15.497337603666667
Patrícia Almeida, 1, 60.675518763333336
Gabriel Oliveira, 2, 84.91768684666665
Jéssica Almeida, 1, 53.56734600666667
Lucas Lima, 5, 44.728985787
Amanda Oliveira, 4, 54.361387801666666
Marcos Almeida, 1, 56.976947773333336
Paula Costa, 1, 71.01968003666667
Gustavo Oliveira, 3, 74.40983508666666
Carolina Almeida, 3, 75.90214078999999
Alexandre Costa, 4, 60.444148430000006
Beatriz Almeida, 1, 41.229938823333335
Fernando Oliveira, 3, 22.302704432333332
Natália Almeida, 4, 59.14893096333333
Rafael Costa, 2, 58.506875449999995
Marina Almeida, 5, 45.85087526333333
Douglas Oliveira, 3, 58.914332583333334
Bianca Almeida, 5, 26.346481451000002
Felipe Costa, 1, 30.417832469999997
Mariana Almeida, 2, 36.11533067333333
Vinícius Oliveira, 2, 38.081006910999996
Letícia Almeida, 3, 42.58634666
José Costa, 2, 16.517930394666667
Ana Clara Oliveira, 3, 63.143962606
Ricardo Almeida, 2, 27.504318476666665
Larissa Costa, 4, 37.337524827
Daniel Almeida, 5, 24.39878528
Laura Oliveira, 5, 78.06827316333333
Wagner Costa, 5, 63.69077086000001
Luana Almeida, 5, 62.25912839
Marcelo Oliveira, 1, 60.09518405666666
Luiza Costa, 3, 37.04276861666667
Eduardo Almeida, 3, 69.77893307333333
Tainá Oliveira, 1, 44.311030846666675
Bruno Almeida, 2, 61.70722969
Raquel Costa, 2, 48.010474679999994
Diego Oliveira, 3, 46.05943125666666
Carolina Almeida, 4, 65.28126435
Ricardo Costa, 3, 33.652641812666666
Fernanda Almeida, 2, 63.501395726666665
Roberto Oliveira, 3, 38.273025589999996
Gabriela Almeida, 3, 53.24345918
Lucas Oliveira, 3, 41.17547551066667
Amanda Costa, 1, 23.450515611
Matheus Almeida, 1, 41.34363006
Marcela Oliveira, 3, 74.81051541333333
Gustavo Almeida, 5, 60.12163235333335
Bruna Oliveira, 1, 50.68733301666666
Rodrigo Almeida, 4, 39.399760805666666
Larissa Costa, 1, 36.02852698333333
André Almeida, 1, 53.00065912333333
Débora Oliveira, 3, 66.03926248666667
Carlos Almeida, 1, 83.42614430333333
Renata Costa, 3, 34.35786552333333
Lucas Almeida, 1, 58.98742954333334
Camila Oliveira, 2, 53.23994823
Thiago Almeida, 4, 65.66722907666667
Juliana Costa, 4, 54.416181806666664
Marcos Almeida, 5, 42.776442383333325
Jéssica Oliveira, 3, 66.04055602999999
Rafaela Almeida, 1, 64.97587682666666
Natália Costa, 4, 66.0109622
Leonardo Almeida, 3, 45.08555705
Patrícia Oliveira, 2, 64.42082276000001
Gabriel Almeida, 2, 42.99719589
Larissa Oliveira, 1, 64.46712009333334
André Almeida, 4, 16.115123792333332
Amanda Oliveira, 5, 60.25364489333333
Renato Costa, 3, 67.39905416
Mariana Almeida, 5, 57.024662877333334
Vinícius Oliveira, 1, 92.40256808333334
Letícia Almeida, 2, 45.192396597666665
José Oliveira, 4, 25.307430924666665
Ana Clara Almeida, 1, 45.14263828366666
Ricardo Oliveira, 4, 30.604945994999998
